version,1.0,,,,,,,,,,,,,,,
codebook_name,M3E1,,,,,,,,,,,,,,,
bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548
name,numeric_id,id,barcode,,,,,,,,,,,,,
Adamdec1,0,ENSMUST00000022641,0  1  1  0  1  0  0  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,
Akt1,1,ENSMUST00000001780,0  0  1  0  0  0  1  0  1  0  0  0  0  1  0  0,,,,,,,,,,,,,
Akt2,2,ENSMUST00000108344,0  0  1  0  0  0  0  1  0  0  0  0  1  0  0  1,,,,,,,,,,,,,
Akt3,3,ENSMUST00000111160,0  0  0  0  0  0  0  0  0  0  1  1  0  0  1  1,,,,,,,,,,,,,
Amica1,4,ENSMUST00000050020,0  1  0  0  1  0  1  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,
Anpep,5,ENSMUST00000107392,0  0  1  0  1  0  0  0  0  0  1  0  0  0  0  1,,,,,,,,,,,,,
Bcl2,6,ENSMUST00000112751,0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  1,,,,,,,,,,,,,
Bcl6,7,ENSMUST00000023151,0  0  0  0  0  1  0  0  1  1  0  0  0  0  1  0,,,,,,,,,,,,,
Blk,8,ENSMUST00000014597,0  1  0  0  1  0  0  1  0  1  0  0  0  0  0  0,,,,,,,,,,,,,
Blnk,9,ENSMUST00000054769,0  0  0  0  1  0  1  0  0  0  0  0  1  0  0  1,,,,,,,,,,,,,
Car5b,10,ENSMUST00000033739,0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1,,,,,,,,,,,,,
Ccr2,11,ENSMUST00000055918,0  1  1  0  0  0  0  0  0  0  0  0  1  0  1  0,,,,,,,,,,,,,
Ccr3,12,ENSMUST00000039171,1  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,
Ccr7,13,ENSMUST00000103134,0  0  0  1  0  0  0  0  0  0  0  1  1  0  1  0,,,,,,,,,,,,,
Cd19,14,ENSMUST00000206325,0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  1,,,,,,,,,,,,,
Cd28,15,ENSMUST00000027165,0  0  0  0  1  0  0  0  0  1  1  1  0  0  0  0,,,,,,,,,,,,,
Cd38,16,ENSMUST00000030964,0  0  1  0  0  1  0  1  0  0  0  0  0  0  1  0,,,,,,,,,,,,,
Cd4,17,ENSMUST00000024044,1  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,
Cd6,18,ENSMUST00000080292,0  1  1  1  0  0  0  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,
Clec7a,19,ENSMUST00000195589,0  1  0  0  0  1  0  0  0  0  0  0  0  1  1  0,,,,,,,,,,,,,
Cr2,20,ENSMUST00000082321,1  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1,,,,,,,,,,,,,
Csf1r,21,ENSMUST00000025523,1  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,
Csf3r,22,ENSMUST00000106162,0  1  0  0  0  0  1  0  0  0  1  0  0  0  1  0,,,,,,,,,,,,,
Dock9,23,ENSMUST00000100299,1  0  0  1  0  0  1  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,
Egf,24,ENSMUST00000029653,0  0  0  0  0  0  1  1  0  1  0  0  0  1  0  0,,,,,,,,,,,,,
Egln2,25,ENSMUST00000080058,1  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0,,,,,,,,,,,,,
Egln3,26,ENSMUST00000039516,0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  1,,,,,,,,,,,,,
Eif2ak3,27,ENSMUST00000034093,0  0  0  0  1  0  0  0  1  0  0  0  1  0  1  0,,,,,,,,,,,,,
Eif4e2,28,ENSMUST00000076362,0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  1,,,,,,,,,,,,,
Erbb2,29,ENSMUST00000058295,0  0  0  0  1  1  0  0  1  0  0  0  0  0  0  1,,,,,,,,,,,,,
Etv5,30,ENSMUST00000079601,0  1  0  0  0  0  1  0  0  0  0  1  0  0  0  1,,,,,,,,,,,,,
Fosb,31,ENSMUST00000003640,0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0,,,,,,,,,,,,,
Foxj1,32,ENSMUST00000036215,1  0  0  0  0  1  0  0  0  0  0  1  0  0  1  0,,,,,,,,,,,,,
Gata3,33,ENSMUST00000102976,1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1,,,,,,,,,,,,,
Gpr83,34,ENSMUST00000034408,0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  1,,,,,,,,,,,,,
Gtf3c1,35,ENSMUST00000055506,0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  1,,,,,,,,,,,,,
