,name,numeric_id,id,barcode
193,Nr4a2,193,NM_001139509,1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  0
194,Nrp1,194,NM_008737,0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0  0
195,Nusap1,195,NM_133851,0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  1  1  0  0
196,Pcna,196,NM_011045,0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  1  0  0
197,Pdgfrb,197,NM_008809,0  0  0  1  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0
198,Pdpn,198,NM_010329,0  0  0  0  0  0  0  0  0  1  0  1  0  0  1  0  0  0  1  0
199,Pecam1,199,NM_001032378,0  0  1  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1
200,Pf4,200,NM_019932,0  0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  1  0
201,Pim1,201,NM_008842,1  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
202,Pkib,202,NM_001039051,0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0
203,Plac8,203,NM_139198,0  1  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0
204,Plaur,204,NM_011113,0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  0  1  0  0  0
205,Plscr2,205,NM_008880,0  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  1  0
206,Plvap,206,NM_032398,0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  1
207,Ppp1r14a,207,NM_026731,0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  1  0
208,Pros1,208,NM_011173,0  0  1  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
209,Ptn,209,NM_008973,0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  1  0
210,Ptpn18,210,NM_011206,1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  1  0  0
211,Ptprc,211,NM_011210,1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
212,Pttg1,212,NM_001131054,1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1
213,Rac2,213,NM_009008,0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  1  0  0  1  0
214,Ramp2,214,NM_019444,1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0
215,Rarres2,215,NM_027852,1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1
216,Rbp1,216,NM_011254,0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  1  0  0  0
217,Rel,217,NM_009044,0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  1  0  0  1  0
218,Retnlg,218,NM_181596,0  0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  1
219,Rgs5,219,NM_009063,0  0  0  1  0  0  0  1  0  0  0  0  0  1  0  0  1  0  0  0
220,Rrm2,220,NM_009104,1  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0
221,Rsad2,221,NM_021384,0  0  1  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0
222,S100a8,222,NM_013650,0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  1
223,S100a9,223,NM_001281852,0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0
224,Saa3,224,NM_011315,0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0
225,Samsn1,225,NM_023380,0  0  1  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0
226,Serpinb6b,226,NM_011454,1  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  1  0  0
227,Serpine2,227,NM_009255,0  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  1
228,Serpinf1,228,NM_011340,1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
229,Skap1,229,NM_001177899,0  0  1  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0
230,Slc2a1,230,NM_011400,0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  1  0
231,Slc4a4,231,NM_018760,0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0
232,Slc9b2,232,NM_178877,0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  1  0  0
233,Smc2,233,NM_001301412,0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  1  0  0  0  0
234,Smc4,234,NM_133786,0  0  0  0  0  0  0  1  1  1  0  1  0  0  0  0  0  0  0  0
