version,Harvard mouse cortex,,,,,,,,,,,,,,,,,,,,,
codebook,,,,,,,,,,,,,,,,,,,,,,
bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
name,numeric_id,id,barcode,,,,,,,,,,,,,,,,,,,
Pdgfc,152,ENSMUST0153,0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Pdgfra,153,ENSMUST0154,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  1,,,,,,,,,,,,,,,,,,,
Pdlim5,154,ENSMUST0155,0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Phactr2,155,ENSMUST0156,0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Plch1,156,ENSMUST0157,0  0  0  0  0  0  1  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Plcxd3,157,ENSMUST0158,1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Pld5,158,ENSMUST0159,0  0  1  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Plekhg3,159,ENSMUST0160,0  0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Pou3f1,160,ENSMUST0161,1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0,,,,,,,,,,,,,,,,,,,
Pou3f3,161,ENSMUST0162,0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Pou6f2,162,ENSMUST0163,0  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Prdm8,163,ENSMUST0164,0  1  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Prok2,164,ENSMUST0165,0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Prokr2,165,ENSMUST0166,0  0  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Prox1,166,ENSMUST0167,0  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Prr16,167,ENSMUST0168,0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Prss12,168,ENSMUST0169,0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Prss23,169,ENSMUST0170,0  0  0  0  1  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Ptger3,170,ENSMUST0171,0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Ptprk,171,ENSMUST0172,0  1  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Ptprm,172,ENSMUST0173,0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Ptprt,173,ENSMUST0174,0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Ptpru,174,ENSMUST0175,0  1  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Pxdc1,175,ENSMUST0176,0  0  1  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Ramp1,176,ENSMUST0177,0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Reln,177,ENSMUST0178,0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0,,,,,,,,,,,,,,,,,,,
Rerg,178,ENSMUST0179,0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0,,,,,,,,,,,,,,,,,,,
Rfx3,179,ENSMUST0180,0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Rgs5,180,ENSMUST0181,0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Rgs6,181,ENSMUST0182,0  0  1  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Rnf152,182,ENSMUST0183,0  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Ror1,183,ENSMUST0184,0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  1  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Rorb,184,ENSMUST0185,0  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Rspo1,185,ENSMUST0186,0  1  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Rxfp1,186,ENSMUST0187,0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Rxfp2,187,ENSMUST0188,0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1,,,,,,,,,,,,,,,,,,,
Satb2,188,ENSMUST0189,0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Scgn,189,ENSMUST0190,0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  1,,,,,,,,,,,,,,,,,,,
Sema3e,190,ENSMUST0191,0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  1,,,,,,,,,,,,,,,,,,,
Sema5a,191,ENSMUST0192,0  0  0  1  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Serpinf1,192,ENSMUST0193,0  0  0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Sertm1,193,ENSMUST0194,0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Sgcd,194,ENSMUST0195,0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Shisa9,195,ENSMUST0196,0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Slc17a6,196,ENSMUST0197,0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1,,,,,,,,,,,,,,,,,,,
Slc17a8,197,ENSMUST0198,0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  1  0,,,,,,,,,,,,,,,,,,,
Slc25a13,198,ENSMUST0199,1  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Slc30a3,199,ENSMUST0200,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Slc32a1,200,ENSMUST0201,1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Slc44a5,201,ENSMUST0202,0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1,,,,,,,,,,,,,,,,,,,
Slco5a1,202,ENSMUST0203,0  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Sncg,203,ENSMUST0204,0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  1,,,,,,,,,,,,,,,,,,,
Sox10,204,ENSMUST0205,0  0  1  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Sox6,205,ENSMUST0206,0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  1,,,,,,,,,,,,,,,,,,,
Sp8,206,ENSMUST0207,0  0  1  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Spon1,207,ENSMUST0208,0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
St6galnac5,208,ENSMUST0209,0  1  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Sulf1,209,ENSMUST0210,0  1  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Sulf2,210,ENSMUST0211,0  0  0  1  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Syndig1,211,ENSMUST0212,1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  1,,,,,,,,,,,,,,,,,,,
Syt10,212,ENSMUST0213,0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0  0,,,,,,,,,,,,,,,,,,,
Syt6,213,ENSMUST0214,0  1  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Tbc1d4,214,ENSMUST0215,0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Tcap,215,ENSMUST0216,1  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Teddm3,216,ENSMUST0217,0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Tenm3,217,ENSMUST0218,0  0  0  1  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Th,218,ENSMUST0219,0  0  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Thbs2,219,ENSMUST0220,0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0,,,,,,,,,,,,,,,,,,,
Thsd7a,220,ENSMUST0221,0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0,,,,,,,,,,,,,,,,,,,
Timp3,221,ENSMUST0222,0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  0,,,,,,,,,,,,,,,,,,,
Tmem163,222,ENSMUST0223,0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Tmtc2,223,ENSMUST0224,0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Tnfaip6,224,ENSMUST0225,1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Tox,225,ENSMUST0226,0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  1  0,,,,,,,,,,,,,,,,,,,
Trp53i11,226,ENSMUST0227,0  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Trpc4,227,ENSMUST0228,0  0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Trpc6,228,ENSMUST0229,0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0,,,,,,,,,,,,,,,,,,,
Tshz2,229,ENSMUST0230,0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Tunar,230,ENSMUST0231,0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Ubash3b,231,ENSMUST0232,1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Unc13c,232,ENSMUST0233,0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Unc5b,233,ENSMUST0234,1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Unc5d,234,ENSMUST0235,0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  1  0,,,,,,,,,,,,,,,,,,,
Ust,235,ENSMUST0236,0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Vipr2,236,ENSMUST0237,0  0  1  0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Vtn,237,ENSMUST0238,1  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Vwc2,238,ENSMUST0239,0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Wipf3,239,ENSMUST0240,0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Wnt7b,240,ENSMUST0241,1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Zfp804b,241,ENSMUST0242,0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1  0,,,,,,,,,,,,,,,,,,,
