version,Harvard mouse cortex,,,,,,,,,,,,,,,,,,,,,
codebook,,,,,,,,,,,,,,,,,,,,,,
bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
name,numeric_id,id,barcode,,,,,,,,,,,,,,,,,,,
Cd24a,37,ENSMUST0038,0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Cdca7,38,ENSMUST0039,1  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Cdcp1,39,ENSMUST0040,0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0,,,,,,,,,,,,,,,,,,,
Cdh12,40,ENSMUST0041,1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  0  0,,,,,,,,,,,,,,,,,,,
Cdh13,41,ENSMUST0042,0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0,,,,,,,,,,,,,,,,,,,
Cdh20,42,ENSMUST0043,1  0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Cdh9,43,ENSMUST0044,1  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Ceacam9,44,ENSMUST0045,0  0  0  0  1  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Cemip,45,ENSMUST0046,1  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Chat,46,ENSMUST0047,0  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Chn2,47,ENSMUST0048,0  0  0  1  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Chodl,48,ENSMUST0049,0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Chrm2,49,ENSMUST0050,0  1  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Chrna2,50,ENSMUST0051,0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1,,,,,,,,,,,,,,,,,,,
Cldn5,51,ENSMUST0052,0  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Clrn1,52,ENSMUST0053,0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Cntnap5b,53,ENSMUST0054,0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0,,,,,,,,,,,,,,,,,,,
Cobll1,54,ENSMUST0055,0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1,,,,,,,,,,,,,,,,,,,
Col14a1,55,ENSMUST0056,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  1,,,,,,,,,,,,,,,,,,,
Col15a1,56,ENSMUST0057,0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1,,,,,,,,,,,,,,,,,,,
Col23a1,57,ENSMUST0058,0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1,,,,,,,,,,,,,,,,,,,
Col24a1,58,ENSMUST0059,0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0,,,,,,,,,,,,,,,,,,,
Col25a1,59,ENSMUST0060,1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Corin,60,ENSMUST0061,0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1,,,,,,,,,,,,,,,,,,,
Cplx3,61,ENSMUST0062,0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0,,,,,,,,,,,,,,,,,,,
Crhr2,62,ENSMUST0063,0  1  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0,,,,,,,,,,,,,,,,,,,
Crispld2,63,ENSMUST0064,0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  1  0  0,,,,,,,,,,,,,,,,,,,
Cspg4,64,ENSMUST0065,0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0,,,,,,,,,,,,,,,,,,,
Ctss,65,ENSMUST0066,0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Cux2,66,ENSMUST0067,0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  1,,,,,,,,,,,,,,,,,,,
Cxcl14,67,ENSMUST0068,0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0,,,,,,,,,,,,,,,,,,,
Daam2,68,ENSMUST0069,0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0,,,,,,,,,,,,,,,,,,,
