,version,Vancouver XP7049,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
41,Icos,ENSMUST00000102827,38,0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
42,Ikzf2,ENSMUST00000027146,39,0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0,1,,,,,,,,,,,,,,,,,,
43,Ikzf4,ENSMUST00000133342,40,0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0,0,,,,,,,,,,,,,,,,,,
44,Il12rb2,ENSMUST00000018485,41,0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0,0,,,,,,,,,,,,,,,,,,
45,Il17ra,ENSMUST00000002976,42,0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0,157,,,,,,,,,,,,,,,,,,
46,Il21r,ENSMUST00000033000,43,0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0,1,,,,,,,,,,,,,,,,,,
47,Il5ra,ENSMUST00000204659,44,0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1,0,,,,,,,,,,,,,,,,,,
48,Itgb2l,ENSMUST00000000161,45,1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0,0,,,,,,,,,,,,,,,,,,
49,Jun,ENSMUST00000107094,46,1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1,236,,,,,,,,,,,,,,,,,,
50,Klri2,ENSMUST00000050385,47,1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
51,Kras,ENSMUST00000032399,48,0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1,522,,,,,,,,,,,,,,,,,,
52,Lamp3,ENSMUST00000081880,49,0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1,0,,,,,,,,,,,,,,,,,,
53,Maf,ENSMUST00000109104,50,0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1,0,,,,,,,,,,,,,,,,,,
54,Map2k1,ENSMUST00000005066,51,0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0,393,,,,,,,,,,,,,,,,,,
55,Map2k2,ENSMUST00000143517,52,1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0,1233,,,,,,,,,,,,,,,,,,
56,Mapk1,ENSMUST00000069107,53,0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0,1270,,,,,,,,,,,,,,,,,,
57,Marco,ENSMUST00000027639,54,0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
58,Met,ENSMUST00000115443,55,0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0,414,,,,,,,,,,,,,,,,,,
59,Mgam,ENSMUST00000071535,56,0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0,1,,,,,,,,,,,,,,,,,,
60,Ms4a1,ENSMUST00000169159,57,0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
61,Msr1,ENSMUST00000170091,58,0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0,0,,,,,,,,,,,,,,,,,,
62,Mtor,ENSMUST00000103221,59,1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1,68,,,,,,,,,,,,,,,,,,
63,Nup107,ENSMUST00000064848,60,1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0,518,,,,,,,,,,,,,,,,,,
64,Oas3,ENSMUST00000044833,61,0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0,2,,,,,,,,,,,,,,,,,,
65,Padi4,ENSMUST00000026381,62,0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0,1014,,,,,,,,,,,,,,,,,,
66,Pdcd1,ENSMUST00000027507,63,0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0,0,,,,,,,,,,,,,,,,,,
67,Pdgfc,ENSMUST00000029652,64,0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0,22,,,,,,,,,,,,,,,,,,
68,Pdk1,ENSMUST00000006669,65,0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0,72,,,,,,,,,,,,,,,,,,
69,Pik3ca,ENSMUST00000029201,66,0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0,109,,,,,,,,,,,,,,,,,,
70,Pik3cd,ENSMUST00000105688,67,1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0,9,,,,,,,,,,,,,,,,,,
71,Pik3cg,ENSMUST00000053215,68,0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1,0,,,,,,,,,,,,,,,,,,
72,Pik3r1,ENSMUST00000055518,69,0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0,36,,,,,,,,,,,,,,,,,,
73,Pik3r2,ENSMUST00000034296,70,1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1,187,,,,,,,,,,,,,,,,,,
74,Pik3r5,ENSMUST00000021283,71,1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0,4,,,,,,,,,,,,,,,,,,
75,Pkm,ENSMUST00000034834,72,0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0,16230,,,,,,,,,,,,,,,,,,
76,Pla2g6,ENSMUST00000174021,73,0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0,126,,,,,,,,,,,,,,,,,,
77,Plcg1,ENSMUST00000103115,74,1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0,152,,,,,,,,,,,,,,,,,,
78,Prf1,ENSMUST00000219375,75,0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0,0,,,,,,,,,,,,,,,,,,
79,Prkcb,ENSMUST00000064989,76,1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0,0,,,,,,,,,,,,,,,,,,
